muestra,PAN,#325,#270,#230,#200,#170,#140,#120,#100,#80,#70,#60,#50,#45,#40,#35,#30,#25,#20,#18,#16,#14,#12,#10,#8,#7,> #6,localidad,muestreo,sitio,zona
Cel 21-08-2SGran.xle,0.00,0.00,0.01,0.01,0.05,0.14,0.41,0.91,1.49,2.11,2.93,4.82,6.44,9.54,11.43,14.95,12.69,11.13,7.30,5.18,3.53,2.87,1.46,0.53,0.07,0.00,0.00,Cel,21-08,2,S
Cel 21-08-3DGran.xle,0.01,0.00,0.02,0.04,0.19,0.67,1.99,4.66,7.36,8.43,9.96,12.10,11.65,12.01,9.14,7.69,4.85,3.16,1.83,1.57,1.02,0.76,0.55,0.33,0.01,0.00,0.00,Cel,21-08,3,D
Cel 21-08-3SGran.xle,0.01,0.01,0.02,0.06,0.24,0.74,1.86,3.57,4.49,4.13,4.09,4.70,5.06,6.63,6.94,8.88,7.86,8.70,7.75,7.39,6.50,5.29,3.02,1.58,0.46,0.02,0.00,Cel,21-08,3,S
Cel 21-08-4DGran.xle,0.02,0.02,0.03,0.07,0.28,0.91,2.56,5.66,8.52,10.02,11.15,13.23,12.13,11.53,7.90,6.33,3.49,2.35,1.33,0.82,0.58,0.47,0.31,0.22,0.04,0.03,0.00,Cel,21-08,4,D
Cel 21-08-4SGran.xle,0.01,0.00,0.02,0.03,0.16,0.45,1.15,2.33,3.42,4.36,5.39,7.73,8.87,11.05,10.79,11.85,8.70,7.18,5.08,4.00,3.02,2.47,1.20,0.58,0.16,0.00,0.00,Cel,21-08,4,S
Dzilam 20-11-1DGran.xle,0.24,0.05,0.05,0.06,0.15,0.41,1.26,3.93,7.97,10.11,10.35,11.59,9.42,8.36,6.69,6.06,3.83,3.51,2.83,2.77,2.03,1.15,0.72,0.98,1.29,1.24,2.95,Dzilam,20-11,1,D
Dzilam 20-11-1SGran.xle,0.24,0.04,0.06,0.37,1.72,1.81,0.90,2.39,5.59,8.27,10.27,12.23,10.53,9.36,6.55,5.66,3.53,2.69,2.42,1.92,1.43,1.26,0.84,0.67,1.02,1.01,7.22,Dzilam,20-11,1,S
Dzilam 20-11-2DGran.xle,0.02,0.02,0.03,0.05,0.06,0.09,0.20,0.47,1.07,1.99,3.33,5.99,7.78,10.64,9.91,10.78,7.95,6.90,4.85,4.16,3.34,3.47,2.23,2.25,1.71,2.46,8.25,Dzilam,20-11,2,D
Dzilam 20-11-2SGran.xle,0.01,0.00,0.02,0.02,0.06,0.15,0.39,1.05,2.31,3.90,6.22,10.01,12.07,14.42,13.73,12.86,8.65,5.88,3.45,1.97,1.25,0.85,0.42,0.18,0.07,0.06,0.00,Dzilam,20-11,2,S
Dzilam 20-11-3DGran.xle,1.88,0.56,0.23,0.07,0.09,0.14,0.25,0.49,0.81,1.22,1.79,2.93,3.91,5.95,7.31,10.60,10.44,11.12,8.78,8.22,6.11,5.57,3.31,2.24,1.88,1.49,2.61,Dzilam,20-11,3,D
Dzilam 20-11-3SGran.xle,0.02,0.02,0.03,0.07,0.16,0.28,0.57,1.16,2.00,2.83,4.02,6.07,7.17,9.37,10.20,11.94,10.38,9.27,6.68,5.04,4.04,3.29,2.00,1.36,0.62,0.37,1.04,Dzilam,20-11,3,S
Dzilam 20-11-4DGran.xle,0.04,0.03,0.03,0.06,0.08,0.24,0.71,2.40,5.46,7.87,8.92,9.99,8.09,7.45,5.96,6.03,5.01,4.99,4.06,3.02,2.80,2.40,1.72,1.37,1.10,1.38,8.79,Dzilam,20-11,4,D
Dzilam 20-11-4SGran.xle,0.31,2.05,5.24,6.67,3.18,0.18,0.19,0.63,1.54,2.50,3.41,5.08,6.00,7.43,7.02,8.32,6.58,6.58,4.86,3.96,3.62,3.36,1.92,1.56,1.10,1.16,5.55,Dzilam,20-11,4,S
Dzilam 21-04-1DGran.xle,0.01,0.01,0.01,0.02,0.06,0.22,0.74,2.72,6.41,8.34,10.42,12.16,11.28,11.20,9.29,8.43,5.82,4.38,2.40,1.67,1.03,0.99,0.72,0.50,0.37,0.40,0.40,Dzilam,21-04,1,D
Dzilam 21-04-1SGran.xle,0.02,0.01,0.02,0.04,0.07,0.20,0.58,2.05,4.54,5.52,6.27,6.63,5.96,6.16,5.77,6.56,6.66,7.36,7.42,6.39,5.65,5.08,3.18,1.98,1.32,1.31,3.25,Dzilam,21-04,1,S
